nameStd,icd10
Other and unspecified atelectasis of newborn,P28.1
Cyanotic attacks of newborn,P28.2
Primary sleep apnea of newborn,P28.3
Other apnea of newborn,P28.4
Respiratory failure of newborn,P28.5
Other specified respiratory conditions of newborn,P28.8
"Respiratory condition of newborn, unspecified",P28.9
Cardiovascular disorders originating in the perinatal period,P29
Congenital viral diseases,P35
Bacterial sepsis of newborn,P36
Other congenital infectious and parasitic diseases,P37
Congenital toxoplasmosis,P37.1
Neonatal (disseminated) listeriosis,P37.2
Congenital falciparum malaria,P37.3
Other congenital malaria,P37.4
Neonatal candidiasis,P37.5
Other specified congenital infectious and parasitic diseases,P37.8
"Congenital infectious or parasitic disease, unspecified",P37.9
Omphalitis of newborn,P38
Other infections specific to the perinatal period,P39
Neonatal conjunctivitis and dacryocystitis,P39.1
"Intra-amniotic infection affecting newborn, not elsewhere classified",P39.2
Neonatal urinary tract infection,P39.3
Neonatal skin infection,P39.4
Other specified infections specific to the perinatal period,P39.8
"Infection specific to the perinatal period, unspecified",P39.9
Newborn affected by intrauterine (fetal) blood loss,P50
Umbilical hemorrhage of newborn,P51
Intracranial nontraumatic hemorrhage of newborn,P52
Hemorrhagic disease of newborn,P53
Other neonatal hemorrhages,P54
Neonatal melena,P54.1
Neonatal rectal hemorrhage,P54.2
Other neonatal gastrointestinal hemorrhage,P54.3
Neonatal adrenal hemorrhage,P54.4
Neonatal cutaneous hemorrhage,P54.5
Neonatal vaginal hemorrhage,P54.6
Other specified neonatal hemorrhages,P54.8
"Neonatal hemorrhage, unspecified",P54.9
Hemolytic disease of newborn,P55
Hydrops fetalis due to hemolytic disease,P56
Kernicterus,P57
Neonatal jaundice due to other excessive hemolysis,P58
Neonatal jaundice due to bleeding,P58.1
Neonatal jaundice due to infection,P58.2
Neonatal jaundice due to polycythemia,P58.3
Neonatal jaundice due to drugs or toxins transmitted from mother or given to newborn,P58.4
Neonatal jaundice due to swallowed maternal blood,P58.5
Neonatal jaundice due to other specified excessive hemolysis,P58.8
"Neonatal jaundice due to excessive hemolysis, unspecified",P58.9
Neonatal jaundice from other and unspecified causes,P59
Inspissated bile syndrome,P59.1
Neonatal jaundice from other and unspecified hepatocellular damage,P59.2
Neonatal jaundice from breast milk inhibitor,P59.3
Neonatal jaundice from other specified causes,P59.8
"Neonatal jaundice, unspecified",P59.9
Disseminated intravascular coagulation of newborn,P60
Other perinatal hematological disorders,P61
Polycythemia neonatorum,P61.1
Anemia of prematurity,P61.2
Congenital anemia from fetal blood loss,P61.3
"Other congenital anemias, not elsewhere classified",P61.4
Transient neonatal neutropenia,P61.5
Other transient neonatal disorders of coagulation,P61.6
Other specified perinatal hematological disorders,P61.8
"Perinatal hematological disorder, unspecified",P61.9
Transitory disorders of carbohydrate metabolism specific to newborn,P70
Transitory neonatal disorders of calcium and magnesium metabolism,P71
Other transitory neonatal endocrine disorders,P72
Transitory neonatal hyperthyroidism,P72.1
"Other transitory neonatal disorders of thyroid function, not elsewhere classified",P72.2
Other specified transitory neonatal endocrine disorders,P72.8
"Transitory neonatal endocrine disorder, unspecified",P72.9
Other transitory neonatal electrolyte and metabolic disturbances,P74
Dehydration of newborn,P74.1
Disturbances of sodium balance of newborn,P74.2
Disturbances of potassium balance of newborn,P74.3
Other transitory electrolyte disturbances of newborn,P74.4
Transitory tyrosinemia of newborn,P74.5
Transitory hyperammonemia of newborn,P74.6
Other transitory metabolic disturbances of newborn,P74.8
"Transitory metabolic disturbance of newborn, unspecified",P74.9
Other intestinal obstruction of newborn,P76
Transitory ileus of newborn,P76.1
Intestinal obstruction due to inspissated milk,P76.2
Other specified intestinal obstruction of newborn,P76.8
"Intestinal obstruction of newborn, unspecified",P76.9
Necrotizing enterocolitis of newborn,P77
Other perinatal digestive system disorders,P78
Other neonatal peritonitis,P78.1
Neonatal hematemesis and melena due to swallowed maternal blood,P78.2
Noninfective neonatal diarrhea,P78.3
Other specified perinatal digestive system disorders,P78.8
"Perinatal digestive system disorder, unspecified",P78.9
Hypothermia of newborn,P80
Other disturbances of temperature regulation of newborn,P81
Other specified disturbances of temperature regulation of newborn,P81.8
"Disturbance of temperature regulation of newborn, unspecified",P81.9
Other conditions of integument specific to newborn,P83
Neonatal erythema toxicum,P83.1
Hydrops fetalis not due to hemolytic disease,P83.2
Other and unspecified edema specific to newborn,P83.3
Breast engorgement of newborn,P83.4
Congenital hydrocele,P83.5
Umbilical polyp of newborn,P83.6
Other specified conditions of integument specific to newborn,P83.8
"Condition of the integument specific to newborn, unspecified",P83.9
Convulsions of newborn,P90
Other disturbances of cerebral status of newborn,P91
Acquired periventricular cysts of newborn,P91.1
Neonatal cerebral leukomalacia,P91.2
Neonatal cerebral irritability,P91.3
Neonatal cerebral depression,P91.4
Neonatal coma,P91.5
Hypoxic ischemic encephalopathy [HIE],P91.6
Other specified disturbances of cerebral status of newborn,P91.8
"Disturbance of cerebral status of newborn, unspecified",P91.9
Feeding problems of newborn,P92
Reactions and intoxications due to drugs administered to newborn,P93
Disorders of muscle tone of newborn,P94
Stillbirth,P95
Other conditions originating in the perinatal period,P96
Neonatal withdrawal symptoms from maternal use of drugs of addiction,P96.1
Withdrawal symptoms from therapeutic use of drugs in newborn,P96.2
Wide cranial sutures of newborn,P96.3
Complication to newborn due to (fetal) intrauterine procedure,P96.5
Other specified conditions originating in the perinatal period,P96.8
"Condition originating in the perinatal period, unspecified",P96.9
Anencephaly and similar malformations,Q00
Encephalocele,Q01
Microcephaly,Q02
Congenital hydrocephalus,Q03
Other congenital malformations of brain,Q04
Arhinencephaly,Q04.1
Holoprosencephaly,Q04.2
Other reduction deformities of brain,Q04.3
Septo-optic dysplasia of brain,Q04.4
Megalencephaly,Q04.5
Congenital cerebral cysts,Q04.6
Other specified congenital malformations of brain,Q04.8
"Congenital malformation of brain, unspecified",Q04.9
Spina bifida,Q05
Other congenital malformations of spinal cord,Q06
Hypoplasia and dysplasia of spinal cord,Q06.1
Diastematomyelia,Q06.2
Other congenital cauda equina malformations,Q06.3
Hydromyelia,Q06.4
Other specified congenital malformations of spinal cord,Q06.8
"Congenital malformation of spinal cord, unspecified",Q06.9
Other congenital malformations of nervous system,Q07
Other specified congenital malformations of nervous system,Q07.8
"Congenital malformation of nervous system, unspecified",Q07.9
"Congenital malformations of eyelid, lacrimal apparatus and orbit",Q10
"Anophthalmos, microphthalmos and macrophthalmos",Q11
Congenital lens malformations,Q12
Congenital malformations of anterior segment of eye,Q13
Congenital malformations of posterior segment of eye,Q14
Other congenital malformations of eye,Q15
Other specified congenital malformations of eye,Q15.8
"Congenital malformation of eye, unspecified",Q15.9
Congenital malformations of ear causing impairment of hearing,Q16
Other congenital malformations of ear,Q17
Macrotia,Q17.1
Microtia,Q17.2
Other misshapen ear,Q17.3
Misplaced ear,Q17.4
Prominent ear,Q17.5
Other specified congenital malformations of ear,Q17.8
"Congenital malformation of ear, unspecified",Q17.9
Other congenital malformations of face and neck,Q18
Preauricular sinus and cyst,Q18.1
Other branchial cleft malformations,Q18.2
Webbing of neck,Q18.3
Macrostomia,Q18.4
Microstomia,Q18.5
Macrocheilia,Q18.6
Microcheilia,Q18.7
Other specified congenital malformations of face and neck,Q18.8
"Congenital malformation of face and neck, unspecified",Q18.9
Congenital malformations of cardiac chambers and connections,Q20
Congenital malformations of cardiac septa,Q21
Congenital malformations of pulmonary and tricuspid valves,Q22
Congenital malformations of aortic and mitral valves,Q23
Other congenital malformations of heart,Q24
Levocardia,Q24.1
Cor triatriatum,Q24.2
Pulmonary infundibular stenosis,Q24.3
Congenital subaortic stenosis,Q24.4
Malformation of coronary vessels,Q24.5
Congenital heart block,Q24.6
Other specified congenital malformations of heart,Q24.8
"Congenital malformation of heart, unspecified",Q24.9
Congenital malformations of great arteries,Q25
Congenital malformations of great veins,Q26
Other congenital malformations of peripheral vascular system,Q27
Congenital renal artery stenosis,Q27.1
Other congenital malformations of renal artery,Q27.2
Arteriovenous malformation (peripheral),Q27.3
Congenital phlebectasia,Q27.4
Other specified congenital malformations of peripheral vascular system,Q27.8
"Congenital malformation of peripheral vascular system, unspecified",Q27.9
Other congenital malformations of circulatory system,Q28
Other malformations of precerebral vessels,Q28.1
Arteriovenous malformation of cerebral vessels,Q28.2
Other malformations of cerebral vessels,Q28.3
Other specified congenital malformations of circulatory system,Q28.8
"Congenital malformation of circulatory system, unspecified",Q28.9
Congenital malformations of nose,Q30
Congenital malformations of larynx,Q31
Congenital malformations of trachea and bronchus,Q32
Congenital malformations of lung,Q33
Other congenital malformations of respiratory system,Q34
Congenital cyst of mediastinum,Q34.1
Other specified congenital malformations of respiratory system,Q34.8
"Congenital malformation of respiratory system, unspecified",Q34.9
Cleft palate,Q35
Cleft lip,Q36
Cleft palate with cleft lip,Q37
"Other congenital malformations of tongue, mouth and pharynx",Q38
Ankyloglossia,Q38.1
Macroglossia,Q38.2
Other congenital malformations of tongue,Q38.3
Congenital malformations of salivary glands and ducts,Q38.4
"Congenital malformations of palate, not elsewhere classified",Q38.5
Other congenital malformations of mouth,Q38.6
Congenital pharyngeal pouch,Q38.7
Other congenital malformations of pharynx,Q38.8
Congenital malformations of esophagus,Q39
Other congenital malformations of upper alimentary tract,Q40
Congenital hiatus hernia,Q40.1
Other specified congenital malformations of stomach,Q40.2
"Congenital malformation of stomach, unspecified",Q40.3
Other specified congenital malformations of upper alimentary tract,Q40.8
"Congenital malformation of upper alimentary tract, unspecified",Q40.9
"Congenital absence, atresia and stenosis of small intestine",Q41
"Congenital absence, atresia and stenosis of large intestine",Q42
Other congenital malformations of intestine,Q43
Hirschsprung's disease,Q43.1
Other congenital functional disorders of colon,Q43.2
Congenital malformations of intestinal fixation,Q43.3
Duplication of intestine,Q43.4
Ectopic anus,Q43.5
Congenital fistula of rectum and anus,Q43.6
Persistent cloaca,Q43.7
Other specified congenital malformations of intestine,Q43.8
"Congenital malformation of intestine, unspecified",Q43.9
"Congenital malformations of gallbladder, bile ducts and liver",Q44
Other congenital malformations of digestive system,Q45
Annular pancreas,Q45.1
Congenital pancreatic cyst,Q45.2
Other congenital malformations of pancreas and pancreatic duct,Q45.3
Other specified congenital malformations of digestive system,Q45.8
"Congenital malformation of digestive system, unspecified",Q45.9
"Congenital malformations of ovaries, fallopian tubes and broad ligaments",Q50
Congenital malformations of uterus and cervix,Q51
Other congenital malformations of female genitalia,Q52
Doubling of vagina,Q52.1
Congenital rectovaginal fistula,Q52.2
Imperforate hymen,Q52.3
Other congenital malformations of vagina,Q52.4
Fusion of labia,Q52.5
Congenital malformation of clitoris,Q52.6
Other and unspecified congenital malformations of vulva,Q52.7
Other specified congenital malformations of female genitalia,Q52.8
"Congenital malformation of female genitalia, unspecified",Q52.9
Undescended and ectopic testicle,Q53
Hypospadias,Q54
Other congenital malformations of male genital organs,Q55
Hypoplasia of testis and scrotum,Q55.1
Other and unspecified congenital malformations of testis and scrotum,Q55.2
Atresia of vas deferens,Q55.3
"Other congenital malformations of vas deferens, epididymis, seminal vesicles and prostate",Q55.4
Congenital absence and aplasia of penis,Q55.5
Other congenital malformations of penis,Q55.6
Congenital vasocutaneous fistula,Q55.7
Other specified congenital malformations of male genital organs,Q55.8
